price,name,state,city,condition,distance,year_of_manufacture,color
3990000,Dodge Journey SXT  White,Lagos State,Ojodu,Local Used,318689,2012, White
5000000,Toyota Corolla  Gray,Abuja (FCT),Gudu,Local Used,289015,2005, Gray
47250000,Ford Mustang  Gray,Lagos State,Amuwo-Odofin,Foreign Used,38619,2018, Gray
5460000,Toyota Corolla  Black,Lagos State,Ikorodu,Local Used,236448,2010, Black
3360000,Lexus RX  2000 Gold,Abia State,Aba North,Local Used,320781,300, Gold
4284000,Ford Edge  Gray,Lagos State,Yaba,Local Used,303848,2008, Gray
6132000,Toyota Camry  Black,Lagos State,Lekki,Local Used,128933,2010, Black
6825000,Mercedes-Benz C 2009 Black,Lagos State,Alimosho,Local Used,71351,300, Black
5796000,Honda Accord Crosstour  Red,Lagos State,Isolo,Local Used,103179,2010, Red
5250000,Toyota Sienna  Gold,Oyo State,Ibadan,Local Used,199207,2005, Gold
3360000,Lexus RX  2000 Black,Lagos State,Ojodu,Local Used,340803,300, Black
6760000,Toyota Camry  Gold,Rivers State,Port-Harcourt,Local Used,242569,2007, Gold
7350000,Kia Sportage  Black,Lagos State,Ikoyi,Local Used,128296,2013, Black
4305000,Honda Accord  Black,Abuja (FCT),Karu,Local Used,165314,2009, Black
5200000,Toyota Corolla  Gray,Abuja (FCT),Gwagwalada,Local Used,473543,2005, Gray
3990000,Dodge Journey SXT  White,Lagos State,Ojodu,Local Used,318689,2012, White
5000000,Toyota Corolla  Gray,Abuja (FCT),Gudu,Local Used,289015,2005, Gray
47250000,Ford Mustang  Gray,Lagos State,Amuwo-Odofin,Foreign Used,38619,2018, Gray
5460000,Toyota Corolla  Black,Lagos State,Ikorodu,Local Used,236448,2010, Black
3360000,Lexus RX  2000 Gold,Abia State,Aba North,Local Used,320781,300, Gold
4284000,Ford Edge  Gray,Lagos State,Yaba,Local Used,303848,2008, Gray
6132000,Toyota Camry  Black,Lagos State,Lekki,Local Used,128933,2010, Black
